"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"AP001977.1",1.69824270368253e-83,4.38903905847975,0.426,0.065,5.09472811104758e-79
"MTRNR2L12",1.00157335604135e-76,-1.77237239674693,0.342,0.754,3.00472006812406e-72
"XIST",9.15068296512398e-75,3.51529416333673,0.359,0.034,2.74520488953719e-70
"RNF150",1.91213467223964e-67,-1.49873705925825,0.278,0.674,5.73640401671892e-63
"C1QC",4.45568447449041e-63,-2.0445008048439,0.229,0.576,1.33670534234712e-58
"CD74",4.99083010331657e-58,-1.44490137419339,0.549,0.795,1.49724903099497e-53
"KCNMA1",1.8597222190508e-56,1.18353639026003,0.871,0.716,5.5791666571524e-52
"HSP90AA1",3.18663182798108e-56,0.664470012786285,0.907,0.828,9.55989548394323e-52
"ACTB",5.18426110189915e-56,-1.27258042255811,0.461,0.75,1.55527833056975e-51
"VSIG4",6.71998237121742e-55,-2.06437033926805,0.177,0.501,2.01599471136523e-50
"CD14",2.2952769092807e-54,-2.55637457205535,0.129,0.435,6.88583072784209e-50
"FCGR1A",6.37052326078258e-53,-1.89821019647164,0.141,0.455,1.91115697823477e-48
"MARCKS",4.77672485943138e-52,-1.71064109133273,0.22,0.538,1.43301745782941e-47
"C1QB",3.94292192818658e-50,-1.33612015124996,0.313,0.635,1.18287657845597e-45
"C1QA",2.27247071068001e-49,-1.90377117687937,0.185,0.495,6.81741213204003e-45
"APOE",4.85717026810689e-48,-1.21845426085869,0.45,0.726,1.45715108043207e-43
"HSPH1",8.7571682214134e-48,1.72752701029858,0.657,0.455,2.62715046642402e-43
"BIN1",3.486338831197e-46,-1.3466623320741,0.415,0.697,1.0459016493591e-41
"EEF1A1",7.52751906623869e-46,-1.08076191933304,0.466,0.731,2.25825571987161e-41
"TMSB4X",1.1393529802789e-45,-1.10406744615915,0.541,0.762,3.41805894083671e-41
"CTSD",4.10910996926661e-45,-1.62924146740984,0.247,0.532,1.23273299077998e-40
"MAF",5.0052157752744e-45,-1.05941318364499,0.581,0.803,1.50156473258232e-40
"FCGR3A",5.23001701529746e-45,-1.69309931619713,0.211,0.5,1.56900510458924e-40
"CX3CR1",2.46836402412726e-44,-1.91924736761771,0.194,0.478,7.40509207238178e-40
"RPL13",7.86193544567759e-44,-1.18067612530223,0.434,0.689,2.35858063370328e-39
"ELMO1",2.87104114196752e-41,0.506047417283758,0.977,0.964,8.61312342590257e-37
"MICOS10",3.39455946199875e-41,-1.66617441947614,0.184,0.462,1.01836783859963e-36
"KLHL6",5.07270820994747e-41,1.73120717838787,0.623,0.397,1.52181246298424e-36
"ZFP36L1",2.06540511566599e-40,-1.01829564096326,0.581,0.802,6.19621534699798e-36
"RPL10",1.24255356847965e-39,-1.13234009490884,0.29,0.564,3.72766070543896e-35
"RPLP2",1.73955552758335e-39,-1.2599305280942,0.21,0.488,5.21866658275005e-35
"LINC02397",4.66783962625226e-39,3.04210267080397,0.25,0.045,1.40035188787568e-34
"PIM1",1.15990311712341e-38,-2.96626419530531,0.051,0.266,3.47970935137022e-34
"HLA-DRA",1.63844966887821e-38,-1.19129219172255,0.41,0.665,4.91534900663464e-34
"PSAP",4.54394003980268e-38,-0.93837137987107,0.59,0.787,1.3631820119408e-33
"GFAP",5.11534146881438e-38,-2.19888357258666,0.136,0.393,1.53460244064431e-33
"FRMD4B",7.87466493108873e-38,-0.705758516801122,0.693,0.879,2.36239947932662e-33
"FCGR1B",3.67247280873041e-37,-2.15430459382776,0.07,0.297,1.10174184261912e-32
"LRRK2",4.26313709524518e-37,1.46173946125196,0.635,0.425,1.27894112857355e-32
"FRRS1",4.79601490744017e-37,2.74582732893129,0.219,0.031,1.43880447223205e-32
"RPS14",7.17960086704579e-37,-1.18954002612376,0.231,0.5,2.15388026011374e-32
"RPS11",8.91047136157735e-37,-1.22963559558481,0.201,0.473,2.6731414084732e-32
"HLA-DRB1",4.5396682254704e-36,-1.20405541574115,0.33,0.587,1.36190046764112e-31
"NAIP",4.95686722865292e-36,-1.09299576092897,0.364,0.613,1.48706016859588e-31
"A2M",5.01050116297935e-36,-1.06891234806552,0.495,0.715,1.5031503488938e-31
"FOLR2",5.87873797870729e-36,-3.53958739431924,0.021,0.203,1.76362139361219e-31
"FGD4",6.67391051321427e-36,0.831201073580129,0.886,0.861,2.00217315396428e-31
"RPL41",3.98438549626291e-35,-0.861190566857683,0.287,0.559,1.19531564887887e-30
"TPT1",1.3513937972992e-34,-0.937666494836039,0.456,0.691,4.05418139189761e-30
"BHLHE41",1.10491434186737e-33,-0.880643263512966,0.521,0.753,3.3147430256021e-29
"RPL9",1.29832747159441e-33,-1.11601881680324,0.22,0.475,3.89498241478324e-29
"CD68",1.70158132688514e-33,-2.33178435930616,0.075,0.284,5.10474398065542e-29
"NEAT1",3.77488764852945e-33,0.612989471114976,0.988,0.987,1.13246629455883e-28
"TGFBR1",4.72020695824815e-33,-1.05592602685854,0.577,0.773,1.41606208747445e-28
"KCTD12",8.03984098086807e-33,-1.09967826373616,0.374,0.614,2.41195229426042e-28
"LINC00486",9.56197386858382e-33,-1.22444481962279,0.244,0.484,2.86859216057515e-28
"RPL3",1.34504071363298e-32,-1.33375258747729,0.229,0.476,4.03512214089894e-28
"EEF1G",1.44436696757636e-32,-1.43195668228893,0.19,0.434,4.33310090272907e-28
"C5orf17",6.55545972249093e-32,4.14519842698672,0.154,0.011,1.96663791674728e-27
"MBNL2",2.29350616458592e-31,0.930372245365414,0.755,0.622,6.88051849375775e-27
"PABPC1",5.41583867101972e-29,-0.959865905828148,0.457,0.673,1.62475160130592e-24
"SLCO2B1",1.04380510788464e-28,-0.576282354135651,0.735,0.878,3.13141532365393e-24
"SAT1",1.2967096192534e-28,-0.739009171664616,0.641,0.82,3.8901288577602e-24
"CD81",1.54986267970859e-28,-1.13537799577929,0.308,0.53,4.64958803912576e-24
"LAPTM5",1.96851453988147e-28,-1.15616897559229,0.373,0.6,5.9055436196444e-24
"PLD4",2.05188487347827e-28,-1.80206153131762,0.085,0.281,6.15565462043482e-24
"TMSB10",2.33384891314396e-28,-1.12284512447064,0.167,0.399,7.00154673943187e-24
"CSF1R",2.73921879818837e-28,-0.733714116732598,0.68,0.829,8.2176563945651e-24
"RPL28",4.67577265941886e-28,-0.881963351763387,0.338,0.581,1.40273179782566e-23
"AL357522.1",5.12174210763694e-28,-0.772872451769068,0.413,0.67,1.53652263229108e-23
"PTGDS",5.94533719230863e-28,-1.11230483521234,0.421,0.68,1.78360115769259e-23
"MSR1",6.48345285726911e-28,1.41754576288664,0.552,0.371,1.94503585718073e-23
"AC131944.1",1.45592045275465e-27,-1.26857507048805,0.198,0.418,4.36776135826396e-23
"CELF2",1.66161752003469e-27,0.526391049622156,0.964,0.948,4.98485256010407e-23
"C3",1.69058643675694e-27,-0.82359528627558,0.631,0.829,5.07175931027083e-23
"RPS3",1.86115280401915e-27,-1.01826176221581,0.232,0.46,5.58345841205745e-23
"HAMP",3.28446824425671e-27,-2.09375291946586,0.06,0.234,9.85340473277013e-23
"NCKAP5",3.74793697636911e-27,-0.607980587595478,0.554,0.784,1.12438109291073e-22
"RPLP1",5.31979483053339e-27,-0.786524380708825,0.328,0.554,1.59593844916002e-22
"MS4A4A",5.68006399134242e-27,-1.90961416073947,0.095,0.284,1.70401919740273e-22
"NAALADL2",7.65365289357374e-27,-0.895832798928689,0.341,0.584,2.29609586807212e-22
"AC011586.2",1.07661413973927e-26,8.01853448744368,0.118,0.005,3.22984241921781e-22
"TUBA1A",2.76181578078765e-26,-1.34875658407792,0.252,0.469,8.28544734236295e-22
"AC119673.2",2.82587170050262e-26,2.2181806984509,0.16,0.023,8.47761510150787e-22
"DSC2",3.07083167491033e-26,-1.75974206461324,0.08,0.264,9.21249502473098e-22
"CARNS1",4.31571593424911e-26,-2.28746792821291,0.083,0.259,1.29471478027473e-21
"TMBIM6",4.33875412630927e-26,-1.04563298740909,0.328,0.542,1.30162623789278e-21
"ADGRG1",5.25811055171482e-26,-1.09555477277977,0.305,0.526,1.57743316551445e-21
"CCR1",5.72731451306808e-26,-2.02663672106698,0.05,0.213,1.71819435392043e-21
"NCK2",5.95776470775773e-26,-0.780595307351969,0.64,0.799,1.78732941232732e-21
"TBC1D14",7.85583143057069e-26,-0.800548272808305,0.457,0.679,2.35674942917121e-21
"AC005165.1",7.89306855927184e-26,-2.18300285934611,0.083,0.26,2.36792056778155e-21
"RPS28",8.87895447989923e-26,-0.847555317924833,0.351,0.566,2.66368634396977e-21
"PTGES3",9.40671162382966e-26,1.13046048416198,0.648,0.519,2.8220134871489e-21
"GAS6",1.1033588552599e-25,-0.989401405561208,0.298,0.52,3.31007656577971e-21
"AC105402.3",1.57105351841027e-25,5.04460822453769,0.148,0.021,4.71316055523082e-21
"FAM149A",5.0679211258748e-25,0.863565809923662,0.746,0.618,1.52037633776244e-20
"TUBA1B",9.13094160457423e-25,-1.28445802568541,0.274,0.468,2.73928248137227e-20
"ADORA3",1.10531834127653e-24,-1.3600416478864,0.128,0.321,3.31595502382959e-20
"PLTP",2.78617122953367e-24,-3.02594389602861,0.023,0.156,8.358513688601e-20
"TMEM163",5.63663397247671e-24,-2.38181798352202,0.103,0.276,1.69099019174301e-19
"AL035446.2",5.75868132272171e-24,-0.944607569122372,0.161,0.378,1.72760439681651e-19
"RPL32",8.68717352652114e-24,-0.869722723223423,0.227,0.441,2.60615205795634e-19
"IL4R",1.14352692129256e-23,-1.01895974737963,0.286,0.496,3.43058076387768e-19
"FOXP1",1.42513870863783e-23,0.636042060560639,0.866,0.807,4.27541612591348e-19
"HLA-E",1.76071276998228e-23,-1.01169483495076,0.321,0.53,5.28213830994683e-19
"LAMP1",2.50423072532475e-23,-0.944625988195412,0.236,0.442,7.51269217597424e-19
"LINC02798",2.86948856618143e-23,0.48327024142319,0.706,0.561,8.6084656985443e-19
"NRP1",3.09168267512339e-23,-1.10352411003628,0.229,0.442,9.27504802537018e-19
"RPS2",3.29768118462873e-23,-0.924659165913173,0.282,0.492,9.8930435538862e-19
"PRKAG2",3.50727931209444e-23,0.972925535101107,0.712,0.602,1.05218379362833e-18
"NPL",4.92713781732305e-23,-0.970477393879102,0.481,0.661,1.47814134519692e-18
"FAU",5.23587465660226e-23,-0.829492989932471,0.19,0.397,1.57076239698068e-18
"UBA52",7.35052822151884e-23,-1.05696924328767,0.198,0.401,2.20515846645565e-18
"NOS1AP",7.89976520198834e-23,-1.30925656525553,0.153,0.345,2.3699295605965e-18
"EEF2",8.97952069443501e-23,-1.25502508222416,0.208,0.401,2.6938562083305e-18
"RPL5",9.45058363095825e-23,-0.96268176539981,0.255,0.463,2.83517508928748e-18
"RPL8",1.68769557266569e-22,-1.0341441127947,0.212,0.408,5.06308671799707e-18
"PADI2",1.81280820180542e-22,1.39209717286812,0.656,0.524,5.43842460541627e-18
"RACK1",1.95911747631139e-22,-1.01436642111142,0.22,0.417,5.87735242893416e-18
"SPRED1",2.26161972381517e-22,-0.737648935331514,0.534,0.721,6.7848591714455e-18
"AP003086.1",3.17091225866629e-22,-1.09290141874568,0.214,0.412,9.51273677599887e-18
"FTL",3.66842961421279e-22,-0.488209905791442,0.634,0.786,1.10052888426384e-17
"MPEG1",7.21013681523293e-22,-3.16145760963962,0.017,0.135,2.16304104456988e-17
"RSRP1",9.78536894454715e-22,-0.768414835969887,0.382,0.59,2.93561068336414e-17
"RPL39",1.05726214975087e-21,-1.08230554229731,0.169,0.359,3.17178644925261e-17
"MKNK1",1.49521727515536e-21,-0.833950586665585,0.423,0.615,4.48565182546608e-17
"CPEB4",1.87190795731887e-21,-0.814356133076147,0.482,0.668,5.61572387195662e-17
"MTRNR2L1",2.04604944579119e-21,-1.41357437079756,0.041,0.181,6.13814833737356e-17
"ITGA6",6.6793608915401e-21,-1.46344973709034,0.097,0.261,2.00380826746203e-16
"ZFPM2-AS1",7.19582865801864e-21,2.45274331263082,0.174,0.045,2.15874859740559e-16
"GRN",7.69914257565386e-21,-1.05433875189803,0.197,0.387,2.30974277269616e-16
"MAFB",8.25803140469483e-21,-1.67171753621419,0.092,0.252,2.47740942140845e-16
"P2RY13",8.59504450433353e-21,-1.75085771976312,0.071,0.224,2.57851335130006e-16
"GPR34",1.22569967813739e-20,-1.2763621159185,0.186,0.367,3.67709903441218e-16
"ITPR1",1.44125299117372e-20,0.908039109565436,0.506,0.316,4.32375897352117e-16
"RPS9",1.67439210567705e-20,-0.987584223424809,0.292,0.487,5.02317631703114e-16
"BMP2K",3.10807243316643e-20,-0.454424627316291,0.89,0.941,9.32421729949929e-16
"CIRBP",3.12717894289731e-20,-1.31891727721129,0.203,0.387,9.38153682869194e-16
"MDM4",4.3985744153656e-20,-0.806076139984392,0.409,0.605,1.31957232460968e-15
"RPL7A",5.22451725738264e-20,-0.873071093665952,0.208,0.397,1.56735517721479e-15
"AC008691.1",6.25765769985595e-20,-1.24407264767902,0.199,0.385,1.87729730995678e-15
"CTSZ",7.10504209194341e-20,-1.12724330861165,0.263,0.44,2.13151262758302e-15
"HLA-DPA1",7.47128115503717e-20,-1.1805165226555,0.232,0.417,2.24138434651115e-15
"SORL1",8.22012332702635e-20,0.443005759920382,0.953,0.926,2.4660369981079e-15
"RBM47",1.68183288067479e-19,-0.601182402574313,0.734,0.852,5.04549864202436e-15
"GABARAP",1.87587305125036e-19,-1.01740089932864,0.163,0.342,5.62761915375108e-15
"RPS18",2.81820412433703e-19,-0.528165179624296,0.195,0.386,8.45461237301109e-15
"KCNJ5",2.96036793462785e-19,-1.15737848522078,0.104,0.264,8.88110380388356e-15
"RPS24",3.00890841750995e-19,-0.618115017850494,0.355,0.554,9.02672525252985e-15
"RPL36A",4.04150780864641e-19,-0.891982694826167,0.146,0.321,1.21245234259392e-14
"SCIN",4.88958151111335e-19,-0.588964966020018,0.543,0.726,1.46687445333401e-14
"TMEM173",5.12822874651311e-19,-2.23983379168617,0.03,0.145,1.53846862395393e-14
"ABCA1",5.58935004019358e-19,-0.892728934282855,0.302,0.488,1.67680501205807e-14
"GAL3ST4",6.11644459652428e-19,-1.52079750640057,0.067,0.207,1.83493337895728e-14
"GAREM1",7.20561584590324e-19,-0.772337531463386,0.38,0.571,2.16168475377097e-14
"GLDN",7.38668789052046e-19,-0.514163345659008,0.514,0.718,2.21600636715614e-14
"TREM2",8.04049026465304e-19,-1.18217684019852,0.136,0.3,2.41214707939591e-14
"PPT1",8.89814021020851e-19,-1.0231221774188,0.17,0.348,2.66944206306255e-14
"HLA-A",9.53452875720789e-19,-0.877725769424793,0.235,0.421,2.86035862716237e-14
"LIPA",1.05849468953311e-18,-0.641089070999017,0.314,0.519,3.17548406859933e-14
"ITGA9",1.65460630167434e-18,-0.84679822493988,0.303,0.493,4.96381890502301e-14
"RPL35",1.95299077225457e-18,-0.955684749581631,0.229,0.407,5.85897231676372e-14
"ACER3",2.09826454982754e-18,-0.676208255295429,0.486,0.672,6.29479364948261e-14
"ITGB2",2.30320960580369e-18,-0.961848893521353,0.227,0.407,6.90962881741107e-14
"ETV5",2.70828449579504e-18,-0.821920541124272,0.236,0.434,8.12485348738513e-14
"LCP2",3.04179871787612e-18,-0.781412526857628,0.295,0.491,9.12539615362837e-14
"LAIR1",4.49754298262057e-18,-1.21254366021197,0.176,0.343,1.34926289478617e-13
"RPS16",5.09611976806251e-18,-0.82744927859773,0.189,0.366,1.52883593041875e-13
"TPP1",5.59661695892502e-18,-1.21298169356312,0.172,0.334,1.6789850876775e-13
"TLR7",5.85882244604717e-18,-1.28504337291664,0.123,0.281,1.75764673381415e-13
"DNAJB6",6.13818535538744e-18,0.82375246146576,0.623,0.514,1.84145560661623e-13
"SPON1",8.04042226993688e-18,3.06663963375472,0.152,0.041,2.41212668098106e-13
"CHORDC1",9.74075930202485e-18,1.30909948847504,0.47,0.349,2.92222779060745e-13
"LINC01374",1.04927066931266e-17,-0.553424688455362,0.561,0.751,3.14781200793798e-13
"DNAJB1",1.20674791849463e-17,0.116987129091381,0.398,0.229,3.6202437554839e-13
"SH3RF3",1.23800641527871e-17,-0.489778122884787,0.711,0.851,3.71401924583612e-13
"MGAT4A",1.3357612061402e-17,-0.502912493568235,0.769,0.866,4.0072836184206e-13
"LAP3",1.36123863449829e-17,-0.930622062536257,0.237,0.422,4.08371590349486e-13
"HLA-DPB1",1.87743627751611e-17,-0.962034611297078,0.268,0.444,5.63230883254832e-13
"RPS23",2.02854470368451e-17,-0.638505103905237,0.22,0.397,6.08563411105353e-13
"CXCL12",2.14236130749941e-17,-1.24835645405491,0.091,0.235,6.42708392249823e-13
"SOCS6",2.19088666018759e-17,-0.798011498167622,0.369,0.545,6.57265998056276e-13
"AC126177.3",2.30186717182449e-17,-1.40459586984718,0.113,0.263,6.90560151547348e-13
"SON",2.42214411888967e-17,-0.495087292621265,0.567,0.755,7.266432356669e-13
"RPL27A",3.28575640226329e-17,-0.830950834967507,0.208,0.378,9.85726920678986e-13
"SELPLG",3.43654507655731e-17,-0.948122321946205,0.169,0.334,1.03096352296719e-12
"HLA-B",4.93406923497965e-17,-0.804156711882769,0.238,0.421,1.4802207704939e-12
"TNFAIP2",6.22055636328981e-17,-1.12418125229278,0.111,0.259,1.86616690898694e-12
"ZFYVE16",6.90011065411286e-17,-0.783710050211133,0.394,0.572,2.07003319623386e-12
"DAB2",6.99066379308307e-17,-1.25761572500986,0.108,0.253,2.09719913792492e-12
"RPL37A",7.15514229238017e-17,-0.47155473276956,0.364,0.544,2.14654268771405e-12
"ATP6V0B",7.43659819795911e-17,-0.945375632362806,0.171,0.334,2.23097945938773e-12
"RPL29",8.69717067280344e-17,-0.85877497003749,0.183,0.35,2.60915120184103e-12
"GPRIN3",8.9264056509322e-17,0.831292032249133,0.647,0.528,2.67792169527966e-12
"AC093849.4",1.07483531017271e-16,1.68994936455781,0.229,0.097,3.22450593051812e-12
"RPS4X",1.21323820458766e-16,-0.597939588859402,0.158,0.321,3.63971461376298e-12
"BCAP31",1.34084616042486e-16,-1.49521083727198,0.078,0.21,4.02253848127458e-12
"BBX",1.37224964186342e-16,0.724074914265085,0.694,0.595,4.11674892559026e-12
"GDI2",1.68624562154353e-16,-0.724437535081275,0.278,0.463,5.0587368646306e-12
"CD59",2.3456096499419e-16,-1.20947351276345,0.109,0.251,7.0368289498257e-12
"FNIP2",2.42474885744901e-16,-0.618126833980361,0.576,0.741,7.27424657234702e-12
"CD63",2.80981369460043e-16,-0.918428324887959,0.177,0.339,8.42944108380128e-12
"RNF149",2.96233410765568e-16,-0.631523495619163,0.545,0.708,8.88700232296703e-12
"FAM49A",3.27311371275568e-16,1.06457757866654,0.553,0.426,9.81934113826704e-12
"LENG8",3.27323946935122e-16,-0.879803940134873,0.284,0.456,9.81971840805366e-12
"CD83",3.46819490776372e-16,2.02833889517649,0.244,0.112,1.04045847232912e-11
"CPED1",3.94809468120254e-16,0.860294083176132,0.687,0.581,1.18442840436076e-11
"RPS13",4.27543201150913e-16,-0.982490573384878,0.121,0.271,1.28262960345274e-11
"CHI3L1",4.94314410372134e-16,3.5174188563056,0.089,0.011,1.4829432311164e-11
"PDE3B",5.12956985691639e-16,0.654396424204508,0.82,0.729,1.53887095707492e-11
"RPL7",5.37666911586363e-16,-0.903589918870679,0.121,0.269,1.61300073475909e-11
"MAMDC2",5.92876899698033e-16,-1.0493568350098,0.091,0.23,1.7786306990941e-11
"SERPINE1",7.42485252992444e-16,1.63096656349705,0.367,0.227,2.22745575897733e-11
"RPL13A",8.75972731965507e-16,-0.595192525702251,0.343,0.52,2.62791819589652e-11
"PIK3R1",9.02897422675213e-16,-0.544376966867676,0.595,0.757,2.70869226802564e-11
"SYTL3",1.15660758414806e-15,1.32657130427863,0.417,0.27,3.46982275244417e-11
"C12orf42",1.42707508353529e-15,2.19024158291243,0.126,0.03,4.28122525060587e-11
"CEBPD",1.58702352894084e-15,-0.885281333969792,0.38,0.536,4.76107058682252e-11
"CST3",1.59630070208035e-15,-1.00182661320726,0.184,0.342,4.78890210624105e-11
"RPS6",1.6663713444515e-15,-0.712154391236194,0.258,0.422,4.99911403335449e-11
"TTC28",1.71688653420048e-15,-0.53354304287256,0.437,0.626,5.15065960260144e-11
"RAB3IL1",1.82912276112385e-15,-2.57453413775425,0.037,0.139,5.48736828337155e-11
"H3F3B",1.94706771210304e-15,-0.838186687828078,0.221,0.381,5.84120313630913e-11
"ADA2",2.02242784702782e-15,-1.24171408210934,0.123,0.267,6.06728354108345e-11
"LGMN",2.24106761545806e-15,-1.37751558647416,0.142,0.285,6.72320284637419e-11
"HLA-DMA",2.25223822163364e-15,-0.962998622613884,0.209,0.367,6.75671466490093e-11
"SHOC1",2.84358235468479e-15,-1.26426779547802,0.116,0.253,8.53074706405437e-11
"TMEM119",2.97917776796697e-15,-1.36719519061473,0.066,0.187,8.9375333039009e-11
"CACNB4",3.30644725209428e-15,0.904666207131493,0.438,0.28,9.91934175628284e-11
"RPS17",3.56274534969327e-15,-0.967818210710801,0.155,0.305,1.06882360490798e-10
"RPL34",3.58900840847764e-15,-0.447267966062404,0.238,0.41,1.07670252254329e-10
"SMAP2",3.67569998956097e-15,0.62053523567689,0.839,0.823,1.10270999686829e-10
"F13A1",4.38122564376121e-15,-1.29496906216481,0.06,0.177,1.31436769312836e-10
"C6orf62",4.43809156297696e-15,-0.621150176902212,0.462,0.632,1.33142746889309e-10
"CD84",4.53490981671032e-15,-0.839995796114833,0.312,0.469,1.3604729450131e-10
"RPL18A",4.6370647670418e-15,-0.888503875613298,0.195,0.348,1.39111943011254e-10
"RPS4Y1",4.87866061384668e-15,-1.41445620621644,0.065,0.184,1.463598184154e-10
"APOC1",5.1623028198791e-15,-0.774168771601261,0.172,0.332,1.54869084596373e-10
"LGALS9",5.60948486005862e-15,-0.829894701329957,0.237,0.402,1.68284545801759e-10
"HCK",6.00917275787419e-15,-0.594109595027087,0.389,0.569,1.80275182736226e-10
"SRSF5",6.33823797464648e-15,-0.651550394880432,0.396,0.564,1.90147139239394e-10
"DOCK4",7.8475528778586e-15,0.329958458785814,0.995,0.984,2.35426586335758e-10
"MT-ND1",8.0853124208899e-15,-0.587990014429973,0.482,0.644,2.42559372626697e-10
"IQCJ-SCHIP1",8.53757554035634e-15,1.7855518405755,0.277,0.146,2.5612726621069e-10
"SALL1",9.47224811958875e-15,-1.04732539234008,0.119,0.253,2.84167443587663e-10
"HS3ST4",1.02307031775389e-14,0.4694791797444,0.852,0.813,3.06921095326167e-10
"PLA2G7",1.04685332943573e-14,-0.942942927506353,0.171,0.323,3.14055998830718e-10
"TENM4",1.16288045683213e-14,0.844379098871726,0.576,0.437,3.48864137049638e-10
"LINC01094",1.25419271727175e-14,-0.54316000538639,0.387,0.564,3.76257815181525e-10
"CFL1",1.27159119815374e-14,-0.817718214151393,0.171,0.318,3.81477359446123e-10
"ATP6AP1",1.30522893583979e-14,-1.06141836004227,0.136,0.276,3.91568680751936e-10
"IFI16",1.34492161628827e-14,-0.483818358934442,0.655,0.786,4.03476484886482e-10
"STAB1",1.41240352776136e-14,-0.835653067002863,0.237,0.393,4.23721058328407e-10
"RPL18",1.54699274593922e-14,-0.605121932991104,0.279,0.449,4.64097823781766e-10
"PDE4B",1.597742842444e-14,0.542557823982722,0.784,0.687,4.79322852733201e-10
"NAV2",1.70410940970122e-14,-0.776134304537804,0.334,0.501,5.11232822910366e-10
"CTSL",2.06195512780937e-14,-1.26303286727383,0.09,0.211,6.1858653834281e-10
"TUBB4A",2.08610678684765e-14,-0.994413542091512,0.179,0.325,6.25832036054294e-10
"SNHG25",2.09705828015192e-14,-0.824827343228358,0.188,0.338,6.29117484045577e-10
"UBE2J1",2.32643399802191e-14,-1.51939667430212,0.067,0.18,6.97930199406572e-10
"MRC1",2.35913368099466e-14,-0.914711814648098,0.119,0.257,7.07740104298397e-10
"NHSL1",2.41877704662104e-14,0.746357509950657,0.71,0.597,7.25633113986313e-10
"AL359636.2",2.48136008990692e-14,3.28560270411244,0.085,0.013,7.44408026972077e-10
"SREBF2",2.5571412524363e-14,1.10199513706696,0.431,0.3,7.67142375730891e-10
"RPL4",2.91439098058269e-14,-0.990041192589769,0.171,0.314,8.74317294174807e-10
"PID1",2.97438434697078e-14,-1.03023616239495,0.066,0.184,8.92315304091233e-10
"SLC2A5",3.28818724456019e-14,-0.50932152420573,0.503,0.668,9.86456173368058e-10
"PLP1",3.66835746198814e-14,-0.0985321383490882,0.622,0.882,1.10050723859644e-09
"RPS25",4.34807587436554e-14,-0.515875378263114,0.179,0.333,1.30442276230966e-09
"ANKRD10",5.08673241371917e-14,-0.58542222650717,0.458,0.603,1.52601972411575e-09
"P4HA1",5.39968836269279e-14,1.09712736231885,0.707,0.674,1.61990650880784e-09
"CTSB",5.62484399791058e-14,-0.35335752846827,0.687,0.811,1.68745319937317e-09
"LINC02611",6.01439987810798e-14,-1.42041334957673,0.065,0.177,1.80431996343239e-09
"EPS15",6.72400080427086e-14,-0.487713378648481,0.604,0.738,2.01720024128126e-09
"LTC4S",7.80165385500402e-14,-2.24174460827886,0.038,0.133,2.34049615650121e-09
"ATP2C1",9.16679825696775e-14,0.750508353975198,0.698,0.655,2.75003947709032e-09
"FAM110B",9.38369492357307e-14,1.20140248980778,0.304,0.171,2.81510847707192e-09
"EIF4B",1.05554218318564e-13,-0.997604309355504,0.227,0.371,3.16662654955692e-09
"KIF26B",1.07988932501249e-13,1.11836750214529,0.29,0.156,3.23966797503748e-09
"COX4I1",1.15253648480683e-13,-0.920793076502153,0.119,0.251,3.45760945442048e-09
"RPS15",1.19408459793078e-13,-0.481393870436886,0.256,0.418,3.58225379379235e-09
"LINC01001",1.44636055701113e-13,-1.55720923506524,0.064,0.172,4.3390816710334e-09
"MT-ND4L",1.48791297808175e-13,-0.456224175857795,0.272,0.449,4.46373893424525e-09
"KCNQ3",1.50495417466581e-13,-0.487403342758619,0.755,0.869,4.51486252399743e-09
"AC243960.1",1.52699168927881e-13,-2.65329049618003,0.019,0.1,4.58097506783643e-09
"MTSS1",1.81127960540337e-13,-0.578775238979852,0.627,0.74,5.4338388162101e-09
"ANKRD44",1.98574758435854e-13,0.39650006494119,0.893,0.868,5.95724275307562e-09
"WDFY3",2.05690998453904e-13,-0.394229160258317,0.713,0.828,6.17072995361712e-09
"PDK4",2.07296057570322e-13,-0.826315992005528,0.215,0.368,6.21888172710966e-09
"PCDH12",2.36905881197541e-13,-2.53403203311474,0.009,0.078,7.10717643592624e-09
"RPL36",2.42049706138705e-13,-0.610039902693154,0.175,0.327,7.26149118416115e-09
"DUSP10",2.54990374557139e-13,1.23456004704424,0.331,0.198,7.64971123671418e-09
"UTY",2.75070981595656e-13,-0.3344231620512,0.397,0.624,8.25212944786968e-09
"NBL1",2.76965063200672e-13,-1.92036189445197,0.028,0.114,8.30895189602016e-09
"IL17RA",2.77805895486483e-13,-0.629227310994894,0.37,0.534,8.33417686459448e-09
"PRKCSH",2.97161095163997e-13,-1.08089975946483,0.113,0.239,8.91483285491991e-09
"PPP1R14A",3.27319353899293e-13,-1.03787625859196,0.131,0.259,9.81958061697879e-09
"PTPN22",3.36829420137111e-13,2.02231818622388,0.089,0.016,1.01048826041133e-08
"MT-ND2",3.52698447818365e-13,-0.453372267259987,0.51,0.655,1.05809534345509e-08
"HRH1",4.2949131002823e-13,-1.21066249914954,0.092,0.211,1.28847393008469e-08
"ELOVL1",4.66685113374547e-13,-1.27245407816095,0.078,0.189,1.40005534012364e-08
"CD93",4.73223764861003e-13,-2.00943944150453,0.019,0.098,1.41967129458301e-08
"NRBP2",5.66250874091712e-13,-1.42091931162352,0.051,0.149,1.69875262227514e-08
"BTG2",6.0074803324687e-13,-1.06830998151219,0.147,0.277,1.80224409974061e-08
