"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"DST",4.31119378731336e-123,-0.282720244555983,0.671,0.75,1.2548591756733e-118
"HIST1H1C",5.30076718711327e-123,-1.36223624883404,0.047,0.104,1.54289430515306e-118
"PLEKHA1",6.50946477882441e-123,0.588250855748241,0.347,0.258,1.89470991317242e-118
"LMCD1-AS1",9.726313881412e-123,-1.09916886201091,0.073,0.139,2.83103818146259e-118
"XXYLT1",2.68451147972149e-122,-0.741455586896536,0.159,0.244,7.81380756402535e-118
"FAM117B",2.93345297764045e-122,-0.620726506290471,0.166,0.255,8.53840158201805e-118
"AC093423.3",5.58215728795622e-122,-1.51348511918633,0.03,0.078,1.62479852180542e-117
"ABCD4",6.8496567789212e-122,0.605440144501881,0.313,0.226,1.99372959864059e-117
"TBC1D5",1.42285000104061e-121,0.29678615967349,0.918,0.89,4.14148949802889e-117
"ANKRD9",1.95845536866882e-121,1.77908312195091,0.048,0.012,5.70047604158434e-117
"ABI3",2.60797078870841e-121,-0.789645168762044,0.165,0.251,7.59102057469357e-117
"RAB10",2.64112320552767e-121,-0.329568533770073,0.704,0.761,7.6875173143294e-117
"ARL17B",3.56922265240204e-121,-0.634379400671048,0.195,0.283,1.03889363743466e-116
"TRPV4",5.13088509415331e-121,1.27630616220746,0.069,0.024,1.4934467243552e-116
"PALLD",1.5501825191285e-120,-1.20248613564798,0.07,0.134,4.51211625842733e-116
"EXT1",2.16525513181087e-120,-0.420285679506809,0.266,0.367,6.30240811216191e-116
"EYS",2.30086046161111e-120,-1.05047753977888,0.101,0.173,6.69711454561147e-116
"ST3GAL6",2.46946078006821e-120,-0.256393958483206,0.529,0.642,7.18785949254453e-116
"PRRC2C",3.63401261069458e-120,0.297613430849758,0.684,0.606,1.05775205059487e-115
"ERMN",5.88723161434904e-120,-1.47277043350002,0.038,0.089,1.71359650598857e-115
"PARP15",6.37277022150722e-120,-1.36640311341801,0.04,0.093,1.85492222837411e-115
"AL157402.2",7.21190036641795e-120,-1.23154664394992,0.059,0.118,2.09916783965327e-115
"AP4B1",1.48221731102859e-119,1.26975335331415,0.114,0.056,4.31428992721092e-115
"ARHGAP4",1.61974384818427e-119,-0.828705360827084,0.127,0.205,4.71458841890995e-115
"RPS25",1.79678700333122e-119,0.767797682358818,0.255,0.176,5.22990793059618e-115
"FFAR4",3.42962213817625e-119,-1.1826914887881,0.04,0.094,9.98260115758961e-115
"RAPGEF1",4.13079202853763e-119,0.324090155074299,0.89,0.844,1.20234963574645e-114
"CCDC117",4.13549653123355e-119,1.06125984759485,0.131,0.069,1.20371897534615e-114
"IL4R",5.74113233876462e-119,-0.287991902290399,0.399,0.52,1.67107138984422e-114
"ZRANB2-AS1",6.08828463216695e-119,-1.69335882699645,0.022,0.065,1.77211700788483e-114
"NETO2",9.59602273380917e-119,0.900192627837044,0.178,0.107,2.79311433712984e-114
"FAM53C",9.62786627091609e-119,0.897875745236885,0.163,0.094,2.80238303547555e-114
"GPM6B",1.11483711711826e-118,-1.11754776490725,0.119,0.194,3.24495639679611e-114
"BACE1",1.24229394551943e-118,-0.933531256972474,0.085,0.153,3.6159449872234e-114
"RASSF5",1.59815565546987e-118,0.777824535318563,0.205,0.129,4.65175166637615e-114
"YY1",1.59825331001791e-118,0.520954204049951,0.417,0.33,4.65203590946913e-114
"CD247",1.7153987532679e-118,1.44933217363537,0.094,0.042,4.99301115113688e-114
"AC027031.2",2.43328752727371e-118,-1.00456739567317,0.075,0.141,7.0825700056356e-114
"AC116366.3",2.62661867777475e-118,-0.679554143068386,0.2,0.29,7.64529898539897e-114
"LINC01184",2.63809052651698e-118,-0.700013934362198,0.157,0.241,7.67869009553299e-114
"ATP1B2",4.12586475673886e-118,1.67164046352949,0.044,0.01,1.20091545474398e-113
"MCOLN1",4.15347982230265e-118,1.02618911028188,0.134,0.072,1.20895337187763e-113
"CDCP1",4.97989743761037e-118,-0.828350231480122,0.107,0.182,1.44949874716525e-113
"FAM135A",5.6825568182745e-118,-0.32559837127747,0.648,0.717,1.65402181309516e-113
"NIPAL2",7.02800171750754e-118,-0.693780393375299,0.102,0.177,2.04564045991492e-113
"NEURL2",8.81477915519183e-118,2.49105955825717,0.042,0.009,2.56571776870169e-113
"MXD4",9.89646604122694e-118,0.583423460255923,0.362,0.278,2.88056437061992e-113
"EGR3",1.16884724991517e-117,-3.08040452072141,0.01,0.044,3.40216369032809e-113
"MORC1",2.22175026473057e-117,0.99011918011905,0.196,0.125,6.46684849555126e-113
"JUN",2.50730491692699e-117,0.73436987146775,0.247,0.168,7.2980124216994e-113
"TMPRSS4",2.60737893599467e-117,-2.65167054780437,0.006,0.037,7.58929786899967e-113
"CLCN5",4.11446011598867e-117,0.604110907867695,0.333,0.246,1.19759590596082e-112
"AC087286.2",5.84100969297437e-117,-0.77386623401719,0.148,0.228,1.70014269133405e-112
"AL359076.1",6.43019527753792e-117,-1.83739184136854,0.019,0.059,1.87163693943296e-112
"ALDH1A2",9.80640258734081e-117,-1.32359652505838,0.048,0.103,2.85434960109729e-112
"PARP8",2.2013239417049e-116,0.632149266949897,0.704,0.652,6.40739359712045e-112
"IRAK2",3.07896731017231e-116,0.757511530478052,0.241,0.162,8.96195014971855e-112
"CLU",3.1401925889094e-116,0.909194008508243,0.13,0.068,9.14015856853858e-112
"TFDP2",4.64210820431761e-116,-0.598267206388049,0.184,0.272,1.35117843503073e-111
"MED12L",4.98597132341124e-116,-0.427465323832844,0.218,0.317,1.45126667310531e-111
"MAPKAP1",5.02540879453849e-116,-0.357860054346743,0.569,0.65,1.46274573782632e-111
"AC090541.1",7.27465648581295e-116,-1.56273424758635,0.021,0.063,2.11743426332558e-111
"PNPT1",7.99858648477029e-116,-0.802899165079524,0.164,0.245,2.32814856812209e-111
"CASP5",8.04480767130513e-116,1.63565555712606,0.082,0.034,2.34160216888678e-111
"PIK3CD-AS2",1.15518637468572e-115,-1.45509709519187,0.034,0.083,3.36240098079774e-111
