Var1,Freq
KLRD1,5.64104716056936
NPY1R,5.46001312638638
AC119673.2,5.19997951618695
NR4A2,5.01181572080755
CD83,4.87308622857557
PLOD2,4.64550707655059
FRRS1,4.62043413511759
RAPGEF4,4.57508491499591
USP53,4.56558632067561
LRRK2,4.31877421760955
C9orf153,4.31624702599002
LINC02397,4.27163915708259
AL078604.4,4.24812011656671
AP001977.1,4.2161355250302
NEK10,4.21497319122922
AP000692.1,4.20367153244685
PTCHD4,4.15160220032654
DUSP10,4.11996263470292
MSR1,4.09727232185028
GABBR1,4.0812976524888
KLHL6,4.01760584085428
SLC12A8,3.96410374354813
KCNMA1,3.88173038282569
AL121999.1,3.86979231011394
KIAA0513,3.8162279195316
NFKBID,3.8100747773569
ZNF90,3.78603813781601
AL359636.2,3.77596230045643
GRASP,3.75815227849904
ELMO1,3.74836778137703
NFIL3,3.71814514186204
MIR3142HG,3.71709758509173
STPG4,3.70911879305083
CACNB4,3.66897589754988
FAM117B,3.66887379484403
MYOCOS,3.66262060771994
RALYL,3.64060016736647
KLF12,3.62770172549564
AC025569.1,3.61604070375172
CARD11,3.60279205083111
SERPINE1,3.58932357077191
AC092535.4,3.55810458530902
AC008115.3,3.54499691167879
ARAP3,3.49900348711566
STK17A,3.49153413745325
PADI2,3.42642206134906
FGF14,3.41310135318956
GALNT2,3.39968863879336
RAB3IP,3.39919390137156
MAST4,3.39174499645509
TNFAIP3,3.39095907316984
FOXP1,3.38206020132773
TPD52L1,3.3784920011604
AC093849.4,3.36686291102561
SDC2,3.36589053176592
AUH,3.36241332965285
AL353138.1,3.35874410751472
SNTB1,3.35427297025322
ZFPM2-AS1,3.35267784710861
FAM149A,3.33532348936465
SLC16A10,3.33248008752444
IKBKE,3.30936598922294
SUCLG2-AS1,3.29699064576942
MLLT3,3.28986848168051
CCDC60,3.26417774572039
DUSP16,3.24673615133806
BBX,3.24094460788033
GBP2,3.22099079471962
ABCA7,3.21572886274708
AC025178.1,3.19973607552792
CCDC40,3.17472884742625
SLC7A11,3.17322495396849
DAB2IP,3.1472277164624
TSC22D3,3.14687544859756
TTC7A,3.12889005429575
TAS2R30,3.12297937215201
ACTN1,3.11651966681623
MBNL2,3.10419911837215
GLCCI1,3.08852122881799
TMEM132E,3.08799295075828
ALCAM,3.08721975387884
RBM15-AS1,3.07890025388175
HBP1,3.06164998974916
CAMKMT,3.05403954650595
C12orf42,3.04574991348517
ACAT2,3.02982186972008
INPP4B,3.0088921747056
ACER2,3.00819210672936
FOCAD,3.0026072437261
PTPRT,2.99649857704569
SNCA,2.99160011027523
FSTL5,2.98697811393409
GRK5,2.97158425450031
CLEC1A,2.96957823408965
BANP,2.95669031098857
LINC01580,2.95386081311433
PTPN22,2.9460911840949
IQCJ-SCHIP1,2.93671453457913
KCNIP4,2.91667075218808
SLC27A6,2.91662938673392
LIMS1,2.91482388406516
B4GALNT3,2.90023376769911
RASAL2,2.89868599988758
NHSL1,2.89557185351333
HILPDA,2.89398105544178
FAM53B,2.89199883875052
TPST1,2.88992027859383
LGI1,2.88991444270811
ADAMTS19,2.88781038713183
ACOT11,2.88395251012067
LINC00472,2.88362628729542
CCND3,2.88347642867846
PLS1,2.87356060725663
KIF26B,2.86343928003239
ZIC1,2.86148879668576
TEAD1,2.85935911924394
AC003991.1,2.85019313936312
FOXO3,2.836215780141
TTC23,2.83037628421821
HNRNPA2B1,2.82542256878352
PLXNA2,2.82358067741739
CYP39A1,2.82162672704034
FGD4,2.81836615160709
WDR44,2.81674655736835
AL035252.3,2.81233404413692
ARL3,2.80429779245405
GPRIN3,2.80217387584184
SYNPO2,2.80202047494733
MOCS2,2.79958332131865
DISP1,2.79819709174112
PLXNC1,2.79136210779905
FAM49A,2.76622606173004
OSBPL3,2.7640884282141
RFX3,2.76374407737776
AC078845.1,2.76306396533156
TSC22D1,2.76009805280626
AL080317.2,2.75451013357879
CEP126,2.7538667208499
LINC00937,2.75194077205775
ADCY10,2.75018448135864
PHF21A,2.74636704383753
IRS2,2.74527233884632
ZHX2,2.74226948595033
RORA,2.73773744899478
ECHDC3,2.73527265720545
SIRT5,2.73304362143478
CHI3L1,2.7301609486315
LDLRAD4,2.72613842050627
LSP1,2.72286533377941
ABLIM1,2.72209866684775
ZRSR2,2.72029951947274
PWWP3A,2.70978681963584
MROH7,2.70956913557207
AL356124.1,2.70457005500936
TMEM229B,2.70144098089993
AC093849.3,2.69843781387343
SLC17A5,2.69183269445083
ATF3,2.69133739545821
AP003469.4,2.68240674045339
PPM1E,2.68100828985748
AL392172.1,2.67875328671788
GNA14,2.67510524967613
ARHGAP6,2.67170375960906
UTRN,2.66901632989498
SREBF2,2.6678494315955
SMYD3,2.66759173410851
UBXN2B,2.66631682520574
CPEB3,2.66473455298282
MIR2052HG,2.65908678551804
NR4A3,2.65123134188697
NETO2,2.64230788833127
TRIM65,2.64211979284762
AC027796.1,2.63405229736991
ZNF257,2.62850705409404
TEX29,2.62624984732339
SCN2A,2.61926079955052
CHPT1,2.61788896772234
KLHL24,2.61132353573001
NRXN1,2.60902790212114
PDE8B,2.60599635209407
GABARAPL1,2.6040442926919
CPPED1,2.60046576909369
TMEM143,2.59862354716309
CASS4,2.59805471965882
LINC00649,2.59603315311977
MN1,2.59388887761981
P2RX7,2.59363372931135
YPEL2,2.58002280328631
SMAP2,2.57442551804951
HIF1A,2.57250491740062
PPID,2.55892861320367
SLC6A6,2.55280367804987
SLC35E3,2.55212168811108
AL021918.5,2.53568141566762
PAIP2,2.53526799518936
AC093865.1,2.53345560827151
