Var1,Freq
DBN1,4.14796164790238
PDK3,4.12557321872583
DCC,4.06630529857497
ST3GAL6,3.77374439097398
AL356124.1,3.67798200523001
AL138701.2,3.5908338500231
SNX31,3.57388907105535
ARSK,3.56466178051413
U91319.1,3.52323607236676
AL445250.1,3.49988301408271
LINC00159,3.49954281157631
LACTB2,3.45557440437726
C16orf95,3.43259611433549
WIPF3,3.4227169282291
AP001977.1,3.41484880891488
AC079382.2,3.3709797322857
AC012020.1,3.33152249349778
AL034347.1,3.29640413170991
SLC35F3,3.27487598775665
MTM1,3.24956345833749
ADCY8,3.24484058095885
SNHG31,3.22108365501075
CNTNAP3B,3.21507405047817
CARMIL1,3.15759218737694
ONECUT2,3.10585067176838
AP001042.1,3.10282072408191
PTPRE,3.04263974637826
AC106793.1,3.02616218862963
RIT2,3.02417131001402
LSMEM1,3.01080005420598
C2CD6,3.00007486895038
SLC38A6,2.98153160610034
BNIP3L,2.97710587329235
PDK1,2.97255432665118
MAMDC2,2.96209720364321
LINC01284,2.9604479876434
KLHL25,2.91989432762292
HAVCR2,2.90850900051361
SOX5,2.90713043462964
RALGPS2,2.89168159309731
AL391117.1,2.8885488975689
AL110292.1,2.8751924158731
SNCA,2.87515994343725
FANCC,2.87422217477315
COL6A1,2.84854189163355
ST8SIA1,2.84616177242324
ABHD3,2.84169620353172
NELL2,2.84123779420044
CDH26,2.83594577265611
SGPP2,2.83470713717962
P2RY11,2.8346938478142
AC008691.1,2.83066150783491
AC120193.1,2.82847480388093
JPH1,2.82495817534301
L3MBTL3,2.8247841254051
CAMK2D,2.8020944634082
VWC2L,2.79856521694387
PFKP,2.7917531551819
DPP10-AS1,2.79145237315846
ATRNL1,2.78731396244287
AC079142.1,2.76688011098554
AL513166.1,2.75928437865393
C2orf88,2.75895920481229
COA6,2.75057721791859
TSHZ2,2.74819506798231
ADGRA1,2.73404812355885
SYT5,2.72983173544064
LINC01252,2.72563113656428
MALT1,2.71448282060708
MIR31HG,2.71183884439569
HPYR1,2.71048209698107
CDHR1,2.70742833059853
ACTN1,2.70642251298926
GLS2,2.69886765888187
LNX2,2.69170664898853
FAM135B,2.67789454482427
DISP1,2.67609625012381
AL158055.1,2.67523387777569
PXDNL,2.66755577210357
LRMP,2.65004468706664
LINC01923,2.64986377559761
AK4,2.63779899731019
FAM118A,2.63566996861189
SBK1,2.63154361212634
ERVMER61-1,2.62822628341365
ATP8B4,2.61597565194206
MYADM,2.61463556137714
AC104041.1,2.61082203710081
ZNF852,2.58187199390666
DPY19L1,2.5730263204465
ZNF365,2.57275475266777
ZNF98,2.56288697273746
ADAM32,2.56249853376542
LDLR,2.55885800601114
USPL1,2.54136492779509
DPYS,2.54083847598535
PLEKHH3,2.53491386645742
CNNM1,2.53417943318754
HIF1A-AS3,2.53257864055326
GNB3,2.52500209598314
AC006058.1,2.52242905021264
MUC20,2.52141256000988
LINC02389,2.51920857768829
MORF4L2,2.51018898937399
AP005230.1,2.51009772572818
ARHGAP18,2.51004328264282
AC020915.2,2.50680283294584
OLFM3,2.5057244122627
GRM3,2.4996349066633
FER1L6-AS2,2.49645471696764
SYNPO2,2.49417435888138
AL512662.2,2.48574786541359
AC068587.4,2.48212496747096
SLC5A4-AS1,2.48183380322231
FAM13A,2.47781583648128
KCTD1,2.47535583896029
ARHGAP8,2.47286349622475
COL5A2,2.46938281188125
PDE10A,2.4659695401338
TSPAN5,2.4648719825541
AC007614.1,2.46071120883265
ERG,2.45931078763958
CDH2,2.45753812930341
PEAK1,2.45364986588216
AC018362.1,2.45215372448523
CENPJ,2.44825166115109
TDRD9,2.4437649828183
TBC1D19,2.44035954909967
AC008269.1,2.43679988254863
ASAP1,2.43296449103059
PEX5,2.43119845369455
MIR2052HG,2.4294172704126
CHST15,2.42784844313103
MYOM2,2.4266427547863
MCPH1,2.42510641867931
AC093849.4,2.42278724653032
AC003991.1,2.41266617255685
STIP1,2.40711437303212
MRPS6,2.40263786708693
MAST4,2.39569247378213
VASH2,2.39489300106546
PPP3CA,2.39278290732383
SEM1,2.39163218617025
MAPK10,2.38792564693057
AL358335.2,2.38768096881934
MERTK,2.38600116115571
FAM184A,2.38164547192313
NPEPL1,2.38096025907099
LIN28B,2.38012658134187
AEBP2,2.37943572781412
LHFPL6,2.37757820974553
AC062028.1,2.37738924087772
CAB39L,2.3738234859101
LINC02646,2.37278382328291
ANO6,2.3721464377855
LINC00882,2.36555416253419
RGS6,2.36363244925806
AC005906.2,2.36202829579682
DGKH,2.36006683142494
NOVA1,2.35632008096037
OSBPL8,2.35531989241058
AC026356.2,2.35472868121722
SESN1,2.35010636584209
ZNF208,2.34948989434579
NELFA,2.34738760562593
PPTC7,2.34566871177012
MNT,2.3426736199144
FAP,2.33824547954884
IL15,2.33801287952552
FARS2,2.33268959045948
OVCH1,2.329432004866
CRYM,2.32342316417162
AL365295.1,2.32332382936019
MAP2K5,2.31612681007665
ZBTB7C,2.31545723952901
SORCS3,2.31296439019241
AC131009.2,2.3129529953755
CBWD5,2.31288939274158
RAB3GAP1,2.30353008625874
TMEM161B-AS1,2.29877338505081
LINC02112,2.29779852673642
RPP14,2.29740951328212
GYS2,2.29201119059588
NRIP1,2.28961546065827
AL133243.2,2.28695928828292
MAPKBP1,2.2863768099945
GDAP1,2.284952034039
OPRM1,2.28370561749564
PI15,2.28262409460356
AC002070.1,2.28244727021611
MFSD11,2.279553850871
TTI2,2.27146363278336
PLA2G4A,2.266806209759
LRRK1,2.26352354184338
SYBU,2.25562217211733
XYLT1,2.25102189474011
LINC02150,2.24932249089173
SCFD1,2.24684683344596
AC107072.2,2.24657147361863
UST,2.24592370581025
LINC02232,2.24216870915902
SLC1A2,2.23872733658375
PASK,2.23860536569026
AC105180.2,2.23839820886283
CCNK,2.23716781506007
DYRK3,2.23485148540662
DTX3,2.23420132757708
AL590705.1,2.23390272640236
RAB37,2.23255917851086
AC091151.5,2.22950665488148
RAD18,2.22296277835907
EDNRA,2.21754828489586
AC090403.1,2.216420752408
TRMT9B,2.21156996149735
LGI1,2.21089739632198
AC092902.4,2.20747297028455
DNAAF2,2.20625822161621
AC016745.2,2.20451198101984
ILDR2,2.20272755803919
RET,2.20021362896325
MKLN1,2.19524338356391
NFAT5,2.19416749954232
AC060765.2,2.19034751953093
SLC7A9,2.19010829185194
EGF,2.18785220034445
AL590434.1,2.1874886964237
ARHGAP32,2.18674420427664
CAB39,2.18568258348369
CLASP1,2.18514526766167
ANO3,2.18472022256277
AC246817.1,2.17939593015139
SEC24D,2.17826192345846
PPFIA4,2.1765113406493
AC013287.1,2.17553026098561
PGAP1,2.17406042475685
NECAB1,2.1692051840022
BICRA,2.16848732569655
ARHGAP29,2.16738271037756
LHFPL2,2.16479258948941
ZBTB43,2.1630089476897
PRCP,2.16236279453752
AL589843.1,2.16155782237739
AL357497.1,2.16048997990535
FLNB,2.15780824907815
EFNB2,2.15655008318156
AL137003.2,2.15654240367154
NCAM2,2.15646850473877
FOXP2,2.15632131168531
PRLR,2.15595626006136
WDR45,2.15339781700452
NCAPD3,2.14923616152932
RAB35,2.14714083312004
YOD1,2.14679656477823
AC093843.1,2.14676213100687
PRB1,2.14462916649557
FBXL2,2.14428380236143
AC129803.1,2.14268823153986
P3H4,2.13839643247406
AC087883.2,2.13700629573682
C17orf100,2.13699385720271
CCDC6,2.13200984059898
DUBR,2.13174575515986
AC016831.7,2.12838897350157
AC005909.2,2.12750226549115
INSIG1,2.12614907011718
GCNT4,2.12525990586719
AC002069.2,2.11932540142008
AP1AR,2.11709346667382
FOXP1,2.11580605809386
USP45,2.11387457908767
SGO1-AS1,2.11276713501546
IGF1R,2.11156268671532
TPMT,2.10867334309204
BID,2.10776761820099
PDGFB,2.10526483396724
TOM1L1,2.10406433136397
AC005225.2,2.10200959219617
PHTF1,2.1016142849699
SLC41A3,2.10086116917711
AC093206.1,2.09920726108716
AL133166.1,2.09486620394335
RANBP9,2.0903940810968
RASEF,2.08426037834741
INPP5E,2.08244826655156
LINC02254,2.08169141125209
ALKBH8,2.08151196897671
AC126121.3,2.07913900560583
STRBP,2.07840297296215
DNAJC1,2.07785308678511
LINC02698,2.07638862830262
RNLS,2.07450916499909
SCHLAP1,2.07447985476772
MPZL1,2.07439850887354
KCNJ14,2.07352581417863
LINC02822,2.07337737698108
CIT,2.07273341585637
SLC26A11,2.07044109385675
ARNTL2,2.0686390129154
SRPK1,2.06847505504123
ATP2C1,2.06830349433825
RAPGEF2,2.06580064401154
ADAL,2.06334088670904
ELOVL5,2.06280637383598
C9orf153,2.06156576797818
AKT3,2.06139744276331
STYK1,2.05981297947074
PLOD2,2.05610948335507
MINDY4,2.05498018335361
CHCHD3,2.0547922823344
PDLIM7,2.05459011401946
SMPD3,2.04849837423132
B4GALT5,2.04847445200852
LMNB2,2.04775182390208
UBE2W,2.04484926777885
CNIH3,2.04342902065967
AHCYL2,2.0418280332993
GCNA,2.04126912556405
P4HA1,2.03892097335341
STIM1,2.0358758772568
ADCY10,2.03212643788606
RRP12,2.03009698120116
CLDN16,2.0269886450329
C8orf88,2.02318807642106
COPA,2.02104707464912
CTNNA2,2.01887310026153
SMAD3,2.01877533082624
WDFY3,2.01628756731807
FMN2,2.01493937919685
CADPS2,2.01443224552755
ESYT3,2.01428090335198
LINC01357,2.01051499285615
LINC01068,2.01010862833663
TAF8,2.00909836777942
KCNK9,2.00687357356532
SLIT3,2.00633441718141
DDAH1,2.0063017010492
AC231533.1,2.00528283857777
DUSP1,2.00516795467768
FAM160A1,2.00430814321191
AC119673.2,2.00213810893439
ARHGAP10,2.00200572822347
FAM53C,1.99866961355772
CCDC3,1.99851207243302
ZNF563,1.99587791316059
TTN-AS1,1.99447553799026
GRB14,1.99387255292488
AC004594.1,1.99368048014254
CRY1,1.99349762410295
PARP8,1.99332955163113
EFNA5,1.99026806942802
AF117829.1,1.98933426390158
HSPB1,1.98853394922741
ABCA7,1.98626127036813
SFMBT2,1.98626063535591
USP43,1.98581282578402
LINC01618,1.98522903209245
SDK1,1.98507153230603
PEBP4,1.98501528376471
FAM207A,1.98455610224549
POPDC3,1.97829219093569
CLEC16A,1.97807485164776
TDRD5,1.97454103037777
AP000446.1,1.973975419789
SLC17A6,1.97263242557475
LINC01435,1.97140214417539
WDR25,1.9708418465508
ZCCHC14,1.97062370011157
LINC01320,1.96933261064743
AL353746.1,1.96615351456097
TRAK2,1.96572527882549
SNAPC3,1.96080241382704
NRF1,1.96049374049753
AC016583.2,1.95911166812615
LAMA4,1.95218320294206
HTR1F,1.95052501556007
PDGFC,1.94861490181814
POLD1,1.94800600008517
UBE2E2,1.94761959434693
STK24,1.94381904524219
Z95331.1,1.94319230517006
RNF14,1.94312162526252
AC064875.1,1.93983028852954
KCNMA1,1.93930482709052
TBC1D1,1.9377161374722
HRK,1.93624608803692
RAB11FIP5,1.93355011328059
CNTN3,1.92834122651052
F11-AS1,1.92585343182997
AL645568.1,1.92580819894301
PLCXD2,1.92441846502665
PTPN14,1.92331251353198
KLHL29,1.9227108941966
BAAT,1.92170721245894
JAKMIP2,1.92043462583763
CASTOR2,1.92005221690057
AC096642.1,1.91774355294841
DYRK1A,1.91746534841854
CRY2,1.91707574229191
INPP5A,1.91399794314723
ITPR2,1.91126384828365
ZMYND19,1.91064810637204
SLC38A9,1.90896675644986
MSH3,1.90433934579167
SLC5A3,1.90184875106776
AC107993.1,1.90051637233187
MBNL2,1.89955280713398
PIK3CA,1.89875267655502
RALY,1.89772803529069
PLCB4,1.89622168747378
LINC01176,1.89604006528723
GGH,1.89441231503536
MYRFL,1.89409163336869
PIP5K1C,1.89340790240936
POLR1D,1.89297994586374
CEP57,1.89280295048642
SNX16,1.89096608179111
TOMM40,1.89087798681048
TNIK,1.890764615274
AK5,1.89064025538
MYOZ2,1.88945682049583
AL035701.1,1.88598212727034
ZNF546,1.88490945002489
NDUFA12,1.88415170920563
CDH8,1.88381466412992
SBF2-AS1,1.88146446922396
NBAS,1.87984960589975
SYNGAP1,1.87929857560107
PCNX1,1.87833414189295
DZIP1,1.8776023077644
CCDC88B,1.8775618284508
FZD3,1.87470983641033
AC103855.3,1.87368448026281
HECTD2,1.87269585680452
DIRC3,1.87174013475031
INTS6,1.87035587671797
AC097662.1,1.86970585864386
SGCE,1.86951452997032
NBEA,1.86922526135856
CATSPERB,1.86874930297872
WNT5A,1.8682191294091
CDC27,1.86800143344187
LNCSRLR,1.86392766188462
AC008127.1,1.86320914591229
TBC1D8,1.86302290750811
GTF2IRD1,1.8625679124798
RCC1,1.86187430858906
RAP2B,1.86151646506343
FNBP1L,1.86108135146775
SOS1,1.86017218442758
AC104689.2,1.855775647991
SLC26A4,1.8553322313971
PDS5B,1.85433201747146
SMIM4,1.85395372803075
HTR1E,1.85226522232308
LINC01117,1.8512263946411
PLXNA1,1.85058728555862
KIAA0556,1.85001488913124
LINC00551,1.84908047350317
ANXA11,1.84869869730824
AL136442.1,1.84811869212134
FGF17,1.84705935678988
MAGI3,1.84628466196006
MIR99AHG,1.8437393421556
PLA2R1,1.84148307232548
MXD1,1.83876113837642
GASK1A,1.83759227233027
HMBOX1,1.83756665359255
ZNF709,1.83750956680636
ABLIM1,1.83509704880428
ARMCX5-GPRASP2.1,1.83486301834955
MEGF11,1.83176320664136
C17orf67,1.83060247429529
FGFR1,1.82991097584594
USP25,1.82989949459052
SRGAP1,1.82660166808738
SETD5,1.824782570377
PACS1,1.82330981321444
EPHA4,1.82319729185881
SEZ6L,1.82216410745206
FKBP3,1.82132666836973
ATP6V0E1,1.82039637476245
MGRN1,1.81955900347754
AL079343.1,1.8186642230287
AL355773.1,1.8170912360029
KCNA1,1.81576450720584
RAD54L,1.81546573093087
SETD3,1.81474158147057
HSD17B14,1.81469758687399
CMC1,1.81249654874165
DNAJC13,1.81213232686834
AL162497.1,1.81055084520489
ERRFI1,1.81014989787593
AC079193.2,1.80888315726379
COL24A1,1.80796763030025
PRPF40B,1.80790076926433
AL359546.1,1.80785195774548
PRKRA,1.80766459049935
IGSF9B,1.80683556179554
LINC00907,1.8041574350899
SHISAL1,1.80404755605568
LINC-PINT,1.80319456461515
PKD1L3,1.803048936955
FSTL4,1.80226316555697
DACH1,1.80079615314561
TRHDE-AS1,1.80068631291332
ARID1B,1.80062534688082
JAKMIP2-AS1,1.79911526862487
TLE4,1.79868400296599
ADRA1B,1.79853408612493
RIC1,1.79673269546265
ARHGAP20,1.7962596317364
RTKN2,1.79624875357133
GALK2,1.79585865267841
AC103855.2,1.79549764672872
ARNTL,1.79529532644333
NUDT9,1.7920821102917
RB1,1.79088399765249
ASXL3,1.78969927621432
STAT6,1.78842387791813
GDA,1.78649813222335
SV2B,1.78521529727198
DTNA,1.78483975284202
CSPP1,1.78468581721895
SPAG16,1.78430409492404
KIF5A,1.78156908101851
MAP4K3,1.780901216486
AC092640.1,1.77980605406253
LINC02796,1.77874731465077
EPHA5,1.77458778109954
LINC02306,1.7728983949512
AC016831.1,1.77219552690107
KLC4,1.77194860861506
CKS2,1.77114218771526
RALYL,1.7700852256594
GOLGA2,1.76928109820577
RANBP3L,1.7687522311155
CHMP1B,1.7684839964003
TBL1XR1,1.76694661262346
ATP13A1,1.76683909288062
CAPS2,1.76563240016342
SCHIP1,1.76525226111366
LINC00862,1.76523173414523
ARHGAP26,1.76464729188854
TRIM11,1.76458193066907
ANKUB1,1.76414483145525
HMG20B,1.76003188511046
CDK8,1.75947803750135
TNPO1,1.75943059265022
METTL14,1.75851458151484
LRBA,1.75833913251828
MTA3,1.75823692409394
MTX2,1.75743063996626
CEACAM19,1.75717623045989
ZDHHC2,1.7560115945453
PLEKHA5,1.7556266330371
HSD17B11,1.75455547477328
TESC,1.75420568585872
EIF2A,1.75383187923555
RSU1,1.75129845607578
KDM3A,1.75026241714226
AC092944.1,1.74719713961173
PSMC1,1.74574321260904
ITPR1,1.74544373769672
