Var1,Freq
ZNF365,4.73391013806367
ITGA8,4.72415763193089
C9orf153,4.58762814434772
SLC5A3,4.58748236075268
PIR,4.4984037745854
LINC00598,4.49819636960702
C5orf66,4.46859297399308
LINC01193,4.4632910023914
LINC02268,4.29060369751405
RALYL,4.24333372374658
PBX3,4.23410416747185
AL450345.2,4.01309950311096
SAMHD1,4.01077499764758
ZNF208,4.0077941840368
ARHGAP42,3.97026703261328
KLHL1,3.96130347106913
PARD3,3.90392692839039
FIGN,3.86985977352138
AC023282.1,3.75142309038032
AC107419.1,3.71047545038377
GRAMD1C,3.70871635833311
AC123912.1,3.63994904836534
Z84485.1,3.63434546033418
LIFR,3.60373562786249
C16orf95,3.59456893546663
FAM13C,3.57952131644411
QKI,3.56714587960746
TFDP2,3.53059556394423
EPHA5-AS1,3.49400392113305
LINC02763,3.47765401529856
PHACTR3,3.41885908690908
AC119673.2,3.41476681071736
LINC00159,3.41012125217095
KDM6A,3.40126090990639
MRPS6,3.37051654122369
RND2,3.35081027719696
DLGAP1,3.34531818204647
BMERB1,3.34173152974206
TPM1,3.33120206851279
PKP4,3.32378895946617
PCDH7,3.30940028979856
ZNF804B,3.29811859794412
MOB4,3.27828545776079
CRIM1,3.27447368673098
LINC02245,3.27028583039878
SASH1,3.26743928600559
TMEM135,3.25313615984908
CHST9,3.25109964102533
AC005906.2,3.24644349932557
AC007563.2,3.23099605134422
AC105285.1,3.23035974051696
TEX15,3.22703808520206
SNCA,3.22433308291579
EPHA5,3.22031936439968
NCAM2,3.21839698643066
AC124854.1,3.21254654693594
PHYHIPL,3.20677390703381
CDK19,3.18926807931574
HIST1H2AC,3.17750160466424
HDAC4,3.16847180596623
AC012636.1,3.1667602206013
DYNC1I1,3.14517531231701
CRB1,3.13777043687441
SLC16A10,3.12699737945475
MKLN1,3.11868551250522
RAB2A,3.11479828967606
CADM2,3.11417227228341
C21orf62-AS1,3.11251503054955
AC026780.2,3.09780494451793
CNTN3,3.08568516043144
AL034417.4,3.0845625330632
HBP1,3.07592722798724
EPS8,3.06826240616401
EVI5L,3.06716203326031
SLC12A8,3.04928541340501
CLCA4-AS1,3.043001772318
BNIP3L,3.04072628454037
CD247,3.02880887920986
ANAPC16,3.02453430459156
SYTL4,3.01990177337838
AC016821.1,3.01779040530524
ATP11C,3.01420306743225
AC006058.1,3.0083169610132
PI4K2B,3.00759405860923
AL357153.2,2.99474656474243
AL049828.1,2.99296383246371
LINC02058,2.96727691794814
FYN,2.9658306952497
FANCC,2.95765452032597
FDFT1,2.9504339056133
AC007319.1,2.94159889972683
UBE4B,2.94101851707512
ERGIC2,2.92535452301121
MAP2K4,2.92205493046105
KCNQ3,2.91558460897433
RAD18,2.91272517982917
MAP4K3,2.89562423486558
RXRA,2.89434118303193
SEMA6A,2.8840169399929
EGFR,2.86540814906209
FAM106A,2.86226244167433
AC096711.2,2.85365685305984
ZCCHC2,2.85085717573104
LINC02315,2.84907323386387
CHST11,2.84325458622285
LINC00158,2.84320782953805
LINC02458,2.83887964835295
AC018754.1,2.83721261808233
AC098588.3,2.83310737439239
AKT3,2.82228376726719
PRKRA,2.82172627253979
CENPJ,2.81786711801927
INPP5A,2.81630000154815
DGKE,2.81522168442913
PPP6R3,2.81120247821472
INTS6,2.81016956937884
PRRG1,2.80959541997871
CBWD1,2.78141922298196
